city,country,hiking_score,beach_score,cultural_sites_score,nightlife_score,family_friendly_score,luxury_infrastructure_score,avg_accom_cost,avg_daily_expense,safety_score,remoteness_score,label
Kathmandu,Nepal,9,1,7,3,3,2,15,12,5,7,Adventure
Queenstown,New Zealand,9,3,3,6,5,7,130,60,9,7,Adventure
Patagonia,Argentina,10,1,2,1,2,3,60,35,7,9,Adventure
Interlaken,Switzerland,9,2,3,4,5,7,160,55,9,5,Adventure
Huaraz,Peru,10,1,3,2,2,1,20,12,5,9,Adventure
Reykjavik,Iceland,8,2,5,5,6,6,180,70,9,7,Adventure
Pokhara,Nepal,9,2,4,3,3,2,12,8,6,8,Adventure
Tromsø,Norway,8,1,4,3,4,5,150,60,9,8,Adventure
Banff,Canada,9,1,2,3,6,6,140,55,9,6,Adventure
Leh,India,9,1,5,1,2,1,15,10,6,10,Adventure
Moab,USA,9,1,2,3,5,4,100,40,9,7,Adventure
Torres del Paine,Chile,10,1,1,1,2,3,70,40,8,10,Adventure
Chamonix,France,9,1,3,4,4,7,140,55,9,5,Adventure
Hallstatt,Austria,7,2,5,2,5,5,110,45,9,6,Adventure
Sapa,Vietnam,8,1,5,2,3,2,15,8,6,8,Adventure
Manali,India,8,1,4,3,3,2,18,10,5,7,Adventure
Zhangjiajie,China,9,1,4,2,4,3,25,15,7,8,Adventure
Kilimanjaro Region,Tanzania,10,1,3,1,2,2,40,25,5,9,Adventure
Annapurna Region,Nepal,10,1,3,1,1,1,12,8,5,10,Adventure
Lake Bled,Slovenia,7,3,5,3,6,5,80,35,9,6,Adventure
Ushuaia,Argentina,8,1,3,3,3,4,70,40,7,10,Adventure
Tbilisi,Georgia,7,2,7,5,4,3,35,20,7,6,Adventure
Rishikesh,India,7,1,5,2,3,2,12,8,5,7,Adventure
La Fortuna,Costa Rica,8,2,2,3,6,5,70,30,8,6,Adventure
Svalbard,Norway,7,1,2,1,2,3,180,70,8,10,Adventure
Milford Sound,New Zealand,9,1,1,1,4,5,100,45,9,9,Adventure
Dolomites,Italy,9,1,4,2,4,7,130,50,9,6,Adventure
Bali,Indonesia,5,8,5,6,6,7,45,20,7,4,Relaxation
Maldives,Maldives,2,10,1,2,4,10,300,80,9,9,Relaxation
Zanzibar,Tanzania,3,9,4,3,4,5,50,20,6,7,Relaxation
Phuket,Thailand,3,9,3,7,5,6,45,25,7,4,Relaxation
Fiji,Fiji,4,9,3,3,6,8,130,45,8,8,Relaxation
Santorini,Greece,3,7,5,4,4,8,160,55,8,5,Relaxation
Maui,USA,5,9,3,4,7,8,220,70,9,5,Relaxation
Seychelles,Seychelles,3,10,2,2,4,9,250,75,8,9,Relaxation
Langkawi,Malaysia,4,8,3,3,6,6,50,20,8,6,Relaxation
Koh Samui,Thailand,3,8,3,6,5,6,45,22,7,5,Relaxation
Tulum,Mexico,4,8,5,6,4,6,90,35,6,5,Relaxation
Boracay,Philippines,3,9,2,6,4,5,40,18,6,5,Relaxation
Mauritius,Mauritius,4,9,3,3,6,8,140,50,8,8,Relaxation
Turks and Caicos,Turks and Caicos,2,9,1,3,5,9,250,70,9,8,Relaxation
Perhentian Islands,Malaysia,3,9,1,2,3,3,25,12,7,8,Relaxation
Goa,India,3,7,4,6,4,4,20,10,6,4,Relaxation
Palawan,Philippines,4,9,2,2,4,4,30,12,6,8,Relaxation
Amalfi Coast,Italy,4,7,6,4,4,9,200,65,8,5,Relaxation
Nha Trang,Vietnam,3,7,3,5,4,4,20,10,6,5,Relaxation
Siargao,Philippines,4,8,1,4,3,3,25,12,6,8,Relaxation
Kyoto,Japan,5,2,10,3,7,7,110,50,9,4,Culture
Rome,Italy,3,3,10,6,6,7,130,55,7,2,Culture
Athens,Greece,4,5,10,7,5,5,70,35,7,3,Culture
Istanbul,Turkey,3,4,9,6,5,5,50,25,6,3,Culture
Fez,Morocco,3,1,9,2,3,3,30,15,6,7,Culture
Luang Prabang,Laos,5,2,8,2,4,4,25,12,7,8,Culture
Varanasi,India,2,1,9,2,3,2,15,8,5,6,Culture
Havana,Cuba,2,4,9,6,4,3,45,20,6,6,Culture
Petra,Jordan,5,2,9,2,4,4,50,25,7,7,Culture
Siem Reap,Cambodia,3,1,9,4,4,3,18,10,6,6,Culture
Cusco,Peru,7,1,9,4,4,3,30,18,6,7,Culture
Marrakech,Morocco,4,2,8,5,4,5,45,20,6,5,Culture
Prague,Czech Republic,3,1,9,7,6,6,80,35,8,3,Culture
Chiang Mai,Thailand,6,2,7,5,5,3,22,15,7,5,Culture
Florence,Italy,3,2,10,5,5,7,120,50,8,3,Culture
Barcelona,Spain,3,6,9,8,6,6,110,45,6,2,Culture
Jaipur,India,2,1,9,3,4,4,25,12,6,5,Culture
Oaxaca,Mexico,3,3,8,5,5,3,30,15,7,5,Culture
Bruges,Belgium,2,1,8,3,6,6,90,40,9,4,Culture
Krakow,Poland,3,1,9,6,5,4,40,20,8,3,Culture
Cairo,Egypt,2,2,10,4,4,4,30,15,5,4,Culture
Hoi An,Vietnam,3,5,8,4,5,4,18,10,7,5,Culture
Edinburgh,Scotland,4,2,9,6,6,6,100,45,8,3,Culture
Salvador,Brazil,3,6,8,7,4,4,35,18,5,5,Culture
Valletta,Malta,3,6,8,5,5,5,70,30,8,4,Culture
Samarkand,Uzbekistan,3,1,9,2,3,2,20,10,6,8,Culture
Bagan,Myanmar,4,2,9,1,3,3,20,10,5,8,Culture
Dubrovnik,Croatia,3,6,8,5,5,6,100,40,8,4,Culture
Ho Chi Minh City,Vietnam,2,3,7,6,4,4,18,10,6,3,Budget
La Paz,Bolivia,6,1,6,4,3,2,18,10,5,7,Budget
Hanoi,Vietnam,3,3,7,5,4,3,16,10,6,4,Budget
Phnom Penh,Cambodia,2,2,6,5,3,3,14,8,5,5,Budget
Antigua Guatemala,Guatemala,4,2,7,4,4,3,22,12,5,6,Budget
Colombo,Sri Lanka,3,5,6,4,5,4,22,12,6,5,Budget
Bucharest,Romania,3,2,7,6,4,3,30,15,7,4,Budget
Sofia,Bulgaria,4,3,6,6,4,3,25,14,7,4,Budget
Vientiane,Laos,3,2,5,3,4,2,15,8,6,6,Budget
Kampala,Uganda,3,1,4,4,3,2,18,10,4,7,Budget
Addis Ababa,Ethiopia,3,1,5,3,3,2,20,10,5,6,Budget
